Dr. Malla Reddy,dr-malla-reddy-internal-medicine,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Sudhir Shrinivas Pai,dr-sudhir-srinivas-pai-neurosurgeon,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Ranjit Mohan,dr-ranjit-mohan-general-physician,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Swati,dr-swati-hanmanthappa-general-physician,./FinalData\Bangalore\General Physician\,General Physician,
Dr. S Varun Kumar,s-varun-kumar-oncologist,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Steve Paul Manjaly,steve-paul-manjaly-geriatrician,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Krishna K N,dr-krishna-k-n-spine-surgeon,./FinalData\Bangalore\General Physician\,General Physician,
Dr. K. J. Irfan,k-j-irfan-general-physician,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Rohit S Warrier,rohit-s-warrier-diabetologist-1,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Divya K S,dr-diivya-k-s-infectious-diseases-physician,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Saikia Nabaneeta,dr-saikia-nabaneeta-general-physician,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Pratiksha Jain,pratiksha-jain-kaushik-general-physician,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Naresh Kumar K,dr-naresh-kumar-k-general-physician,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Praveen Channappa,dr-praveen-channappa-family-physician,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Anitha Nathan,dr-anitha-nathan-gynecologist-obstetrician,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Tanvi Sood,dr-tanvi-sood-oncologist,./FinalData\Bangalore\General Physician\,General Physician,
Dr. B Rachana,dr-b-rachana-general-physician,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Rakesh Kumar G,dr-rakesh-kumar-g-internal-medicine,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Bhaskar Gupta,dr-bhaskar-gupta-2-general-physician,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Ravikumara P,ravikumara-p-general-physician,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Vishwanath  M Kamoji,dr-vishwanath-m-kamoji-pediatrician,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Rashmi N,dr-rashmi-n-2-general-physician,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Naazneen Begum F.Kittur,naazneen-begum-f-kittur-general-physician-1,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Sujatha S Ganagi,dr-sujatha-s-ganagi-gynecologist-obstetrician,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Vinayak M,vinayak-munirathnam-oncologist,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Pooja Pillai,pooja-pillai-internal-medicine,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Gurucharan Adoor,dr-gurucharan-adoor-general-physician,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Anand R Sutar,dr-anand-r-sutar-emergency-critical-care,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Sheetal Brahmesh,dr-sheetal-brahmesh-internal-medicine,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Chandrashekar A L,dr-chandrashekar-a-l-general-physician,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Kishore. N. L,dr-kishore-n-l-1-general-physician,./FinalData\Bangalore\General Physician\,General Physician,
Dr. P Mohan Babu,p-mohan-babu-general-physician,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Murali Krishna Kora,murali-13-pain-management-specialist,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Vishwanath S,vishwanath-s-endocrinologist,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Hiranmayi Seshu,hiranmayi-seshu-general-physician-1,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Janardhanan K C,janardhanan-k-c-general-surgeon,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Rajani Surendar Bhat,dr-rajani-surendar-bhat-internal-medicine,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Jansi,dr-jansi-gynecologist-obstetrician-1,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Ceema Manohar Patil,dr-seema-manohar-patil-emergency-critical-care,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Sowmya C C,dr-sowmya-c-c-paediatrics,./FinalData\Bangalore\General Physician\,General Physician,
Dr. K V Prakash,k-v-prakash-general-physician,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Ramalakshmi Sathiss,dr-ramalakshmi-sathiss-family-physician,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Sridhar K,sridhar-k-1-diabetologist,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Anurag S Kumar,dr-anurag-s-kumar-diabetologist,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Ramesh Kumar D,ramesh-kumar-d-general-physician,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Visalam,dr-visalam-integrated-medicine,./FinalData\Bangalore\General Physician\,General Physician,
